record_id,merchant_id,feature_name,adoption_date,last_used_date,usage_count,is_active
FA00001,M0001,Payout Settings,2023-10-09,2025-02-09,19,0
FA00002,M0002,Payout Settings,2026-02-12,2026-02-13,27,1
FA00003,M0002,Invoicing,2025-06-05,2025-12-10,77,1
FA00004,M0002,Loyalty Program,2025-03-07,2025-09-18,35,0
FA00005,M0003,Analytics,2024-11-04,2025-05-02,55,0
FA00006,M0003,Online Store,2025-05-16,2025-06-04,106,1
FA00007,M0003,Payout Settings,2025-05-03,2025-07-29,114,1
FA00008,M0003,Invoicing,2024-03-21,2024-05-04,26,0
FA00009,M0003,Tax Reports,2024-01-02,2024-05-07,99,0
FA00010,M0004,Payout Settings,2025-01-30,2025-07-14,22,1
FA00011,M0004,Team Management,2025-01-16,2025-06-06,73,1
FA00012,M0004,Analytics,2024-09-24,2025-02-25,53,0
FA00013,M0004,Loyalty Program,2025-06-03,2025-08-07,49,1
FA00014,M0005,Online Store,2024-08-01,2024-11-24,62,0
FA00015,M0005,Loyalty Program,2024-11-25,2025-10-17,19,0
FA00016,M0005,Invoicing,2024-12-24,2024-12-30,93,0
FA00017,M0005,Analytics,2026-02-13,2026-02-15,34,1
FA00018,M0005,Inventory,2024-08-02,2025-10-06,94,0
FA00019,M0006,Team Management,2025-06-24,2025-07-03,5,1
FA00020,M0006,Payout Settings,2024-12-19,2025-01-22,4,0
FA00021,M0006,Inventory,2024-01-21,2024-08-28,11,0
FA00022,M0007,Payout Settings,2025-11-05,2025-12-29,103,1
FA00023,M0007,Online Store,2024-11-29,2025-10-22,138,0
FA00024,M0007,Team Management,2025-02-09,2025-07-01,22,0
FA00025,M0007,Tax Reports,2025-07-20,2025-08-09,131,0
FA00026,M0008,Team Management,2025-02-21,2025-12-18,17,1
FA00027,M0008,Online Store,2024-11-30,2025-11-22,112,1
FA00028,M0008,Tax Reports,2026-02-03,2026-02-03,15,1
FA00029,M0009,Analytics,2025-09-15,2025-10-14,117,0
FA00030,M0010,Invoicing,2025-12-05,2025-12-27,31,1
FA00031,M0010,Team Management,2023-11-19,2025-11-12,36,0
FA00032,M0010,Loyalty Program,2025-10-25,2025-10-26,42,0
FA00033,M0011,Loyalty Program,2025-04-30,2025-07-03,69,0
FA00034,M0011,Online Store,2025-11-01,2025-12-01,8,0
FA00035,M0011,Payout Settings,2025-04-11,2025-11-16,70,0
FA00036,M0011,Team Management,2025-07-17,2025-08-02,68,0
FA00037,M0011,Analytics,2025-10-21,2025-11-09,128,0
FA00038,M0012,Loyalty Program,2025-04-01,2025-05-23,147,0
FA00039,M0012,Invoicing,2025-11-02,2026-02-02,30,1
FA00040,M0012,Inventory,2025-03-18,2025-12-03,1,1
FA00041,M0012,Online Store,2024-12-14,2024-12-20,63,0
FA00042,M0012,Analytics,2024-12-15,2025-08-13,94,0
FA00043,M0012,Tax Reports,2025-06-06,2025-08-21,46,0
FA00044,M0012,Payout Settings,2026-02-04,2026-02-05,142,1
FA00045,M0013,Inventory,2024-02-17,2024-05-06,147,0
FA00046,M0013,Team Management,2024-05-31,2024-07-31,129,0
FA00047,M0013,Analytics,2025-04-04,2025-04-17,46,0
FA00048,M0013,Tax Reports,2023-12-30,2025-06-10,12,0
FA00049,M0013,Payout Settings,2024-06-29,2024-08-03,120,0
FA00050,M0014,Online Store,2024-12-13,2025-09-22,117,1
FA00051,M0014,Team Management,2024-11-03,2025-05-10,52,0
FA00052,M0015,Online Store,2025-11-30,2025-12-31,119,1
FA00053,M0015,Loyalty Program,2025-03-15,2026-01-11,127,1
FA00054,M0016,Inventory,2024-02-25,2025-09-01,89,1
FA00055,M0016,Analytics,2025-04-13,2025-04-15,86,0
FA00056,M0016,Invoicing,2023-07-03,2025-08-18,97,1
FA00057,M0016,Tax Reports,2025-07-26,2025-09-10,79,1
FA00058,M0016,Loyalty Program,2023-10-16,2024-05-13,136,0
FA00059,M0017,Payout Settings,2023-10-30,2023-12-13,60,0
FA00060,M0017,Inventory,2026-01-30,2026-02-01,106,1
FA00061,M0017,Invoicing,2025-07-13,2025-10-16,118,0
FA00062,M0017,Analytics,2025-08-30,2025-09-20,149,0
FA00063,M0017,Team Management,2023-11-01,2025-04-01,35,0
FA00064,M0018,Payout Settings,2024-10-25,2025-06-04,34,0
FA00065,M0018,Invoicing,2025-04-22,2025-09-18,67,0
FA00066,M0018,Online Store,2025-07-11,2026-03-05,101,1
FA00067,M0019,Loyalty Program,2025-04-15,2025-08-12,20,0
FA00068,M0019,Team Management,2025-02-03,2025-04-13,150,0
FA00069,M0019,Inventory,2024-10-30,2025-01-17,28,0
FA00070,M0020,Tax Reports,2025-06-02,2025-08-02,138,0
FA00071,M0020,Inventory,2025-05-08,2025-08-22,116,0
FA00072,M0020,Team Management,2025-04-12,2025-12-05,68,0
FA00073,M0021,Analytics,2026-02-01,2026-02-10,11,1
FA00074,M0021,Tax Reports,2024-10-07,2025-12-08,84,1
FA00075,M0022,Analytics,2025-08-22,2025-09-03,77,0
FA00076,M0022,Loyalty Program,2025-04-15,2025-07-13,8,0
FA00077,M0022,Tax Reports,2025-06-28,2026-02-14,143,1
FA00078,M0022,Team Management,2025-12-21,2026-03-01,64,1
FA00079,M0022,Inventory,2025-01-20,2025-09-13,27,0
FA00080,M0023,Analytics,2023-04-18,2023-08-22,57,0
FA00081,M0024,Inventory,2025-06-20,2025-12-27,22,1
FA00082,M0025,Analytics,2026-01-22,2026-03-04,114,1
FA00083,M0025,Invoicing,2025-12-05,2025-12-21,24,1
FA00084,M0025,Payout Settings,2026-01-23,2026-02-13,32,1
FA00085,M0025,Tax Reports,2024-11-07,2026-03-04,119,1
FA00086,M0026,Team Management,2025-11-21,2026-03-06,102,1
FA00087,M0027,Invoicing,2025-10-01,2026-01-18,45,1
FA00088,M0027,Inventory,2024-10-29,2025-02-15,48,0
FA00089,M0028,Online Store,2024-11-16,2025-07-29,106,0
FA00090,M0028,Inventory,2025-11-28,2025-12-05,23,0
FA00091,M0028,Analytics,2024-10-15,2025-11-11,36,0
FA00092,M0028,Invoicing,2025-07-28,2025-09-17,135,0
FA00093,M0028,Loyalty Program,2024-08-14,2026-02-21,5,1
FA00094,M0028,Team Management,2025-05-14,2025-11-13,123,0
FA00095,M0029,Tax Reports,2025-07-03,2025-09-23,100,0
FA00096,M0029,Team Management,2025-03-06,2025-06-06,7,0
FA00097,M0029,Online Store,2025-03-31,2026-01-30,57,1
FA00098,M0030,Online Store,2025-10-09,2026-02-06,136,1
FA00099,M0030,Invoicing,2024-07-04,2026-02-22,60,1
FA00100,M0031,Analytics,2024-11-14,2025-03-17,69,0
FA00101,M0032,Invoicing,2025-04-13,2025-10-11,45,0
FA00102,M0032,Payout Settings,2024-02-03,2024-10-02,82,0
FA00103,M0032,Analytics,2025-02-11,2025-12-10,8,1
FA00104,M0033,Team Management,2025-02-15,2025-05-05,45,0
FA00105,M0033,Online Store,2024-12-24,2025-01-12,24,0
FA00106,M0033,Analytics,2023-10-06,2024-05-31,57,0
FA00107,M0033,Inventory,2023-08-30,2025-02-19,123,0
FA00108,M0034,Loyalty Program,2024-11-25,2025-11-27,46,0
FA00109,M0034,Online Store,2024-11-08,2024-12-08,6,0
FA00110,M0034,Analytics,2024-05-12,2026-01-02,37,1
FA00111,M0034,Tax Reports,2026-02-12,2026-02-15,135,1
FA00112,M0035,Analytics,2025-08-13,2026-01-29,102,1
FA00113,M0035,Team Management,2025-04-14,2025-06-04,87,0
FA00114,M0036,Loyalty Program,2025-11-17,2026-01-18,82,1
FA00115,M0036,Analytics,2024-07-29,2026-02-24,92,1
FA00116,M0036,Payout Settings,2024-09-17,2025-03-15,97,0
FA00117,M0036,Inventory,2024-12-12,2025-12-22,76,1
FA00118,M0037,Team Management,2025-08-06,2025-08-31,146,1
FA00119,M0037,Loyalty Program,2024-11-02,2025-02-03,82,0
FA00120,M0037,Invoicing,2025-08-26,2025-09-02,145,1
FA00121,M0038,Tax Reports,2024-03-28,2025-03-18,82,0
FA00122,M0038,Analytics,2024-01-16,2024-04-15,86,0
FA00123,M0038,Team Management,2024-10-28,2024-11-02,68,0
FA00124,M0038,Invoicing,2024-02-28,2024-11-09,18,0
FA00125,M0039,Online Store,2023-10-25,2025-10-31,1,0
FA00126,M0039,Payout Settings,2023-08-25,2024-09-23,113,0
FA00127,M0040,Team Management,2024-06-15,2025-10-18,148,0
FA00128,M0040,Inventory,2025-12-30,2026-01-27,42,1
FA00129,M0040,Payout Settings,2025-06-09,2025-07-16,9,0
FA00130,M0040,Loyalty Program,2024-12-30,2025-01-09,82,0
FA00131,M0040,Tax Reports,2024-11-26,2025-01-18,19,0
FA00132,M0040,Online Store,2025-02-17,2025-05-15,97,0
FA00133,M0040,Analytics,2024-08-15,2024-10-30,141,0
FA00134,M0041,Loyalty Program,2025-11-01,2026-01-30,8,1
FA00135,M0041,Online Store,2025-07-19,2026-01-02,43,1
FA00136,M0042,Team Management,2024-09-19,2025-11-12,142,0
FA00137,M0042,Invoicing,2025-09-13,2025-11-19,73,0
FA00138,M0042,Payout Settings,2025-01-07,2025-05-08,25,0
FA00139,M0042,Tax Reports,2024-04-28,2025-06-04,147,0
FA00140,M0042,Analytics,2025-09-22,2026-01-25,40,1
FA00141,M0043,Loyalty Program,2024-11-05,2024-12-19,76,0
FA00142,M0043,Invoicing,2025-07-03,2025-09-02,52,1
FA00143,M0044,Invoicing,2024-03-05,2024-08-26,75,0
FA00144,M0045,Tax Reports,2025-01-13,2025-09-11,126,1
FA00145,M0045,Payout Settings,2024-08-30,2024-10-15,140,0
FA00146,M0045,Invoicing,2025-01-02,2025-04-06,95,0
FA00147,M0045,Team Management,2024-12-27,2025-07-04,48,1
FA00148,M0046,Invoicing,2024-05-12,2025-01-05,68,0
FA00149,M0046,Team Management,2023-10-06,2024-07-07,145,0
FA00150,M0047,Team Management,2026-01-26,2026-01-26,22,1
FA00151,M0048,Payout Settings,2025-06-24,2025-08-16,138,1
FA00152,M0048,Tax Reports,2025-09-16,2025-09-23,147,1
FA00153,M0048,Online Store,2025-01-28,2025-05-29,77,0
FA00154,M0048,Analytics,2024-11-09,2025-05-30,9,0
FA00155,M0048,Invoicing,2025-06-14,2025-08-26,133,1
FA00156,M0048,Loyalty Program,2025-07-19,2025-08-06,31,1
FA00157,M0049,Team Management,2023-10-29,2025-09-27,112,0
FA00158,M0049,Analytics,2024-03-03,2025-12-05,38,1
FA00159,M0049,Payout Settings,2025-12-11,2026-02-25,67,1
FA00160,M0049,Loyalty Program,2024-07-02,2024-09-08,23,0
FA00161,M0049,Online Store,2024-09-10,2025-10-21,142,0
FA00162,M0049,Invoicing,2024-07-08,2025-04-16,134,0
FA00163,M0049,Inventory,2024-11-21,2026-02-11,4,1
FA00164,M0050,Payout Settings,2025-10-12,2025-11-06,74,0
FA00165,M0050,Invoicing,2025-09-14,2025-12-11,106,1
FA00166,M0050,Inventory,2024-12-10,2025-06-24,125,0
FA00167,M0050,Analytics,2025-10-21,2026-02-19,10,1
FA00168,M0050,Online Store,2024-09-07,2025-06-16,104,0
FA00169,M0050,Team Management,2024-08-09,2025-09-24,10,0
FA00170,M0050,Tax Reports,2025-04-24,2025-10-10,61,0
FA00171,M0050,Loyalty Program,2024-05-04,2025-09-02,69,0
FA00172,M0051,Invoicing,2025-11-22,2026-01-05,26,1
FA00173,M0051,Team Management,2025-12-03,2025-12-17,35,1
FA00174,M0051,Payout Settings,2024-04-30,2025-07-27,83,0
FA00175,M0051,Loyalty Program,2024-03-29,2025-05-29,23,0
FA00176,M0051,Online Store,2024-01-06,2025-04-02,55,0
FA00177,M0051,Analytics,2026-01-18,2026-01-21,125,1
FA00178,M0052,Invoicing,2024-12-16,2025-12-14,130,1
FA00179,M0052,Online Store,2025-06-23,2025-07-27,135,0
FA00180,M0052,Analytics,2023-05-18,2023-11-11,50,0
FA00181,M0052,Tax Reports,2024-05-04,2024-07-02,64,0
FA00182,M0053,Tax Reports,2025-11-20,2026-01-05,51,1
FA00183,M0053,Invoicing,2024-01-30,2025-02-10,119,0
FA00184,M0054,Payout Settings,2025-04-01,2025-11-29,142,0
FA00185,M0054,Loyalty Program,2025-09-25,2025-12-22,42,1
FA00186,M0054,Invoicing,2025-06-23,2025-08-08,73,0
FA00187,M0054,Tax Reports,2024-10-30,2025-05-15,13,0
FA00188,M0054,Analytics,2025-03-17,2026-01-03,55,1
FA00189,M0054,Inventory,2025-05-16,2025-09-08,53,0
FA00190,M0054,Team Management,2025-07-04,2025-12-17,105,1
FA00191,M0054,Online Store,2026-03-11,2026-03-11,3,1
FA00192,M0055,Team Management,2023-11-15,2025-07-22,3,0
FA00193,M0055,Loyalty Program,2024-01-06,2024-09-20,79,0
FA00194,M0056,Online Store,2024-12-10,2025-08-02,65,0
FA00195,M0056,Inventory,2024-07-29,2025-11-18,78,0
FA00196,M0056,Payout Settings,2025-11-11,2026-01-16,102,1
FA00197,M0057,Invoicing,2025-10-18,2026-01-21,144,1
FA00198,M0057,Online Store,2025-10-10,2025-12-21,77,1
FA00199,M0058,Analytics,2025-01-18,2025-06-08,84,0
FA00200,M0058,Inventory,2024-09-19,2025-06-13,77,0
FA00201,M0058,Invoicing,2024-03-21,2024-08-21,133,0
FA00202,M0059,Invoicing,2025-11-07,2025-12-12,7,0
FA00203,M0059,Payout Settings,2025-10-25,2026-03-01,76,1
FA00204,M0059,Online Store,2025-04-05,2025-11-05,104,0
FA00205,M0059,Inventory,2025-06-10,2025-06-28,150,0
FA00206,M0059,Team Management,2025-11-21,2026-02-02,49,1
FA00207,M0060,Inventory,2025-12-12,2026-01-11,92,1
FA00208,M0060,Loyalty Program,2025-11-14,2025-12-22,44,1
FA00209,M0061,Team Management,2025-07-04,2025-12-18,23,1
FA00210,M0061,Tax Reports,2025-03-10,2025-09-07,58,0
FA00211,M0061,Invoicing,2025-06-05,2026-01-06,85,1
FA00212,M0061,Inventory,2025-08-10,2025-10-15,150,0
FA00213,M0061,Analytics,2025-05-23,2026-01-15,31,1
FA00214,M0061,Payout Settings,2025-11-19,2025-11-25,150,0
FA00215,M0061,Online Store,2024-10-06,2025-06-04,50,0
FA00216,M0061,Loyalty Program,2025-12-20,2026-01-04,98,1
FA00217,M0062,Payout Settings,2024-01-17,2025-01-01,105,0
FA00218,M0062,Invoicing,2025-01-29,2025-09-14,118,1
FA00219,M0062,Analytics,2023-11-19,2024-10-07,47,0
FA00220,M0062,Loyalty Program,2025-08-31,2025-09-02,125,1
FA00221,M0063,Team Management,2025-11-20,2025-11-27,2,1
FA00222,M0063,Tax Reports,2025-05-17,2025-10-04,54,0
FA00223,M0064,Team Management,2025-10-30,2026-02-10,110,1
FA00224,M0064,Inventory,2025-12-18,2026-02-05,2,1
FA00225,M0064,Invoicing,2024-09-24,2025-04-16,96,0
FA00226,M0064,Analytics,2024-08-31,2025-07-26,136,0
FA00227,M0064,Payout Settings,2025-02-28,2025-03-09,2,0
FA00228,M0065,Inventory,2024-07-05,2024-12-11,34,0
FA00229,M0065,Analytics,2023-11-01,2024-11-27,129,0
FA00230,M0065,Loyalty Program,2025-03-12,2025-05-29,43,0
FA00231,M0066,Invoicing,2024-11-05,2026-03-05,75,1
FA00232,M0067,Loyalty Program,2024-05-22,2024-11-13,126,0
FA00233,M0067,Inventory,2025-01-07,2025-07-18,49,1
FA00234,M0068,Payout Settings,2024-01-11,2024-08-31,58,0
FA00235,M0069,Team Management,2024-02-08,2025-10-03,130,0
FA00236,M0069,Analytics,2024-07-08,2024-11-11,94,0
FA00237,M0069,Loyalty Program,2026-01-14,2026-01-24,10,1
FA00238,M0070,Online Store,2024-04-13,2024-05-03,13,0
FA00239,M0070,Payout Settings,2024-04-21,2025-06-21,114,0
FA00240,M0070,Tax Reports,2025-01-17,2025-02-17,141,0
FA00241,M0070,Loyalty Program,2024-09-08,2025-05-08,40,0
FA00242,M0070,Invoicing,2024-07-22,2025-07-12,3,1
FA00243,M0070,Team Management,2024-10-28,2025-05-31,26,0
FA00244,M0070,Inventory,2025-06-09,2025-07-13,36,1
FA00245,M0071,Analytics,2025-06-03,2025-06-30,128,0
FA00246,M0071,Online Store,2023-10-12,2025-06-26,52,0
FA00247,M0071,Loyalty Program,2025-05-27,2025-08-02,134,0
FA00248,M0071,Payout Settings,2023-10-15,2024-10-15,105,0
FA00249,M0071,Invoicing,2024-01-19,2024-07-01,11,0
FA00250,M0071,Tax Reports,2024-10-04,2025-06-15,54,0
FA00251,M0071,Inventory,2025-02-24,2025-10-28,85,1
FA00252,M0072,Invoicing,2023-08-05,2023-11-26,147,0
FA00253,M0072,Tax Reports,2025-11-11,2025-11-30,24,1
FA00254,M0072,Loyalty Program,2025-12-17,2025-12-21,26,1
FA00255,M0073,Inventory,2024-07-09,2025-01-03,11,0
FA00256,M0073,Tax Reports,2025-01-20,2025-07-23,81,0
FA00257,M0073,Team Management,2025-06-08,2025-08-06,25,0
FA00258,M0073,Loyalty Program,2024-05-14,2024-05-23,36,0
FA00259,M0073,Payout Settings,2026-02-06,2026-02-16,85,1
FA00260,M0073,Invoicing,2025-03-30,2025-11-09,69,0
FA00261,M0074,Loyalty Program,2025-01-01,2025-07-25,103,0
FA00262,M0074,Payout Settings,2025-06-25,2025-09-02,99,0
FA00263,M0074,Team Management,2025-10-23,2025-12-23,108,1
FA00264,M0074,Analytics,2025-10-02,2026-01-23,43,1
FA00265,M0075,Team Management,2024-05-09,2024-08-23,107,0
FA00266,M0075,Loyalty Program,2025-07-24,2025-11-24,146,1
FA00267,M0075,Payout Settings,2025-10-22,2025-12-17,47,1
FA00268,M0075,Invoicing,2025-08-14,2025-11-19,92,1
FA00269,M0076,Team Management,2025-07-04,2025-08-01,106,0
FA00270,M0076,Inventory,2025-06-10,2025-06-21,17,0
FA00271,M0077,Loyalty Program,2025-07-10,2025-09-20,58,1
FA00272,M0077,Invoicing,2024-11-08,2025-07-31,134,1
FA00273,M0077,Tax Reports,2025-08-22,2025-08-28,111,1
FA00274,M0077,Online Store,2024-08-08,2025-04-11,89,0
FA00275,M0078,Team Management,2025-07-26,2026-02-28,121,1
FA00276,M0078,Payout Settings,2025-07-16,2026-02-23,43,1
FA00277,M0078,Online Store,2024-05-11,2025-09-26,83,0
FA00278,M0078,Loyalty Program,2024-10-28,2025-04-15,72,0
FA00279,M0078,Invoicing,2024-04-16,2025-09-17,58,0
FA00280,M0078,Inventory,2025-09-10,2026-02-21,97,1
FA00281,M0078,Tax Reports,2025-04-12,2025-08-10,21,0
FA00282,M0079,Tax Reports,2025-08-09,2025-12-01,81,0
FA00283,M0079,Payout Settings,2024-07-16,2025-12-07,5,1
FA00284,M0079,Online Store,2024-06-30,2025-08-17,106,0
FA00285,M0079,Inventory,2024-04-22,2025-11-13,141,0
FA00286,M0079,Invoicing,2024-03-17,2024-06-18,78,0
FA00287,M0080,Inventory,2025-09-05,2025-10-17,144,1
FA00288,M0080,Loyalty Program,2025-09-24,2025-12-24,94,1
FA00289,M0080,Payout Settings,2025-09-03,2025-09-17,25,0
FA00290,M0080,Tax Reports,2025-01-10,2025-01-11,88,0
FA00291,M0080,Team Management,2025-05-26,2025-12-24,75,1
FA00292,M0080,Analytics,2025-12-09,2025-12-25,96,1
FA00293,M0080,Invoicing,2024-09-13,2024-10-06,43,0
FA00294,M0080,Online Store,2025-10-14,2025-10-31,105,1
FA00295,M0081,Online Store,2023-11-07,2024-12-13,56,0
FA00296,M0081,Tax Reports,2024-10-17,2025-12-13,49,1
FA00297,M0081,Analytics,2025-07-09,2025-10-03,28,0
FA00298,M0081,Loyalty Program,2025-08-20,2025-12-04,12,1
FA00299,M0082,Tax Reports,2026-01-12,2026-01-16,128,1
FA00300,M0082,Inventory,2023-03-25,2023-07-02,142,0
FA00301,M0083,Tax Reports,2025-08-04,2025-09-18,149,0
FA00302,M0083,Online Store,2023-11-21,2025-12-08,33,1
FA00303,M0084,Payout Settings,2025-02-15,2025-10-31,99,0
FA00304,M0084,Loyalty Program,2025-05-25,2025-09-29,71,0
FA00305,M0084,Online Store,2025-05-04,2025-10-26,76,0
FA00306,M0084,Tax Reports,2025-06-29,2026-01-21,35,1
FA00307,M0085,Payout Settings,2026-02-02,2026-02-18,77,1
FA00308,M0086,Loyalty Program,2024-07-05,2025-01-26,54,0
FA00309,M0086,Tax Reports,2024-12-02,2025-11-18,89,1
FA00310,M0086,Payout Settings,2024-01-13,2026-01-09,46,1
FA00311,M0087,Analytics,2025-09-20,2026-02-16,147,1
FA00312,M0087,Payout Settings,2025-05-14,2026-02-11,74,1
FA00313,M0087,Team Management,2025-05-25,2025-05-31,134,0
FA00314,M0087,Online Store,2023-08-17,2023-09-11,98,0
FA00315,M0088,Invoicing,2025-12-10,2025-12-30,74,1
FA00316,M0088,Loyalty Program,2025-11-05,2025-12-07,38,1
FA00317,M0088,Tax Reports,2026-01-24,2026-01-25,76,1
FA00318,M0088,Analytics,2025-03-05,2025-12-07,9,1
FA00319,M0088,Team Management,2025-05-23,2026-01-09,27,1
FA00320,M0089,Inventory,2025-06-29,2026-01-13,107,1
FA00321,M0089,Loyalty Program,2025-04-20,2026-01-27,14,1
FA00322,M0089,Payout Settings,2024-06-17,2025-03-01,52,0
FA00323,M0089,Online Store,2026-03-01,2026-03-14,114,1
FA00324,M0089,Tax Reports,2025-01-20,2025-12-10,95,0
FA00325,M0089,Invoicing,2026-01-27,2026-03-02,51,1
FA00326,M0089,Analytics,2024-12-19,2025-05-18,115,0
FA00327,M0089,Team Management,2024-12-02,2025-11-16,20,0
FA00328,M0090,Team Management,2024-01-25,2025-02-14,11,0
FA00329,M0090,Loyalty Program,2024-12-06,2025-04-27,143,0
FA00330,M0090,Online Store,2024-06-21,2024-11-01,42,0
FA00331,M0091,Invoicing,2024-11-05,2025-01-22,83,0
FA00332,M0091,Team Management,2024-11-17,2025-12-18,78,1
FA00333,M0091,Inventory,2026-02-10,2026-03-04,19,1
FA00334,M0091,Analytics,2025-08-17,2025-12-29,57,1
FA00335,M0092,Analytics,2024-01-31,2025-03-31,140,0
FA00336,M0092,Payout Settings,2025-02-20,2025-09-14,24,0
FA00337,M0092,Online Store,2024-08-12,2025-03-26,55,0
FA00338,M0093,Loyalty Program,2026-01-27,2026-02-12,122,1
FA00339,M0093,Team Management,2024-12-24,2026-01-13,3,1
FA00340,M0093,Payout Settings,2023-09-24,2025-08-08,89,0
FA00341,M0093,Analytics,2024-08-28,2025-05-01,63,0
FA00342,M0094,Loyalty Program,2023-10-06,2024-11-04,66,0
FA00343,M0094,Inventory,2024-09-17,2024-09-29,133,0
FA00344,M0095,Tax Reports,2024-02-25,2025-01-18,132,0
FA00345,M0095,Inventory,2023-07-14,2023-10-20,43,0
FA00346,M0095,Invoicing,2023-02-11,2023-06-25,54,0
FA00347,M0095,Team Management,2024-04-07,2025-06-15,27,0
FA00348,M0096,Payout Settings,2024-10-25,2025-11-11,40,0
FA00349,M0097,Tax Reports,2024-09-25,2024-11-01,14,0
FA00350,M0097,Loyalty Program,2024-12-27,2025-05-04,143,0
FA00351,M0097,Team Management,2024-09-08,2025-06-29,59,0
FA00352,M0097,Invoicing,2025-03-19,2025-10-13,100,0
FA00353,M0098,Payout Settings,2024-09-09,2026-03-10,2,1
FA00354,M0098,Inventory,2026-02-26,2026-03-09,17,1
FA00355,M0098,Team Management,2025-12-31,2026-01-05,19,1
FA00356,M0098,Invoicing,2025-05-12,2026-01-24,28,1
FA00357,M0098,Tax Reports,2025-03-03,2026-02-17,78,1
FA00358,M0099,Analytics,2025-01-02,2025-07-23,8,0
FA00359,M0099,Team Management,2025-04-07,2025-06-26,137,0
FA00360,M0099,Inventory,2024-07-21,2024-12-07,101,0
FA00361,M0100,Online Store,2024-10-15,2024-10-17,147,0
FA00362,M0100,Loyalty Program,2025-07-26,2025-11-03,138,1
FA00363,M0100,Analytics,2025-07-01,2025-07-22,79,0
FA00364,M0100,Team Management,2025-01-09,2026-01-23,89,1
FA00365,M0100,Tax Reports,2025-01-10,2025-08-09,132,0
FA00366,M0100,Invoicing,2024-12-05,2025-02-25,48,0
FA00367,M0100,Inventory,2025-01-15,2025-11-26,65,1
FA00368,M0100,Payout Settings,2025-01-01,2025-02-28,47,0
FA00369,M0101,Tax Reports,2024-09-17,2024-10-24,75,0
FA00370,M0101,Loyalty Program,2025-01-20,2025-02-23,65,0
FA00371,M0102,Inventory,2025-08-20,2025-08-30,92,1
FA00372,M0102,Loyalty Program,2024-08-18,2025-07-27,61,1
FA00373,M0103,Online Store,2025-07-02,2025-07-19,50,0
FA00374,M0104,Tax Reports,2024-10-30,2025-09-10,79,0
FA00375,M0104,Inventory,2025-11-08,2026-01-21,40,1
FA00376,M0105,Loyalty Program,2025-05-26,2025-08-20,2,0
